"","Pynam","pycomnam","MODCAT","GENCAT","GenSci","GenCom","ANALCAT","AnalSci","AnalCom","COLLCAT","CollSci","Collcom"
"704","CYCLOSTREMATIDAE",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"705","FISSURELLIDAE",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"706","PUNCTURELLA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"707","PUNCTURELLA NOACHINA","DILUVIAN PUNCTURELLA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"708","DIODORA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"709","PROPILIDIUM SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"710","ANATOMA CRISPATA","CRISPATE SCISSURELLE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"711","TROCHIDAE","TOPSNAILS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"712","MARGARITES SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"713","APORRHAIS OCCIDENTALIS","AMERICAN PELICANFOOT","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"714","CAECUM SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"715","CRUCIBULUM STRIATUM","STRIATE CUP-AND-SAUCER","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"716","CERITHIIDAE",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"717","CREPIDULA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"718","CREPIDULA PLANA","EASTERN WHITE SLIPPERSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"719","EPITONIUM SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"720","VELUTINA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"721","NATICIDAE","MOON SNAILS, SHARK EYES AND BABY-EARS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"722","NATICIDAE OPERCULUM","MOON SNAILS, SHARK EYES AND BABY-EARS OPERCULUM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"723","NATICA CLAUSA","ARCTIC MOONSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"724","TECTONATICA PUSILLA","MINATURE MOONSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"725","EUSPIRA HEROS","NORTHERN MOONSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"726","EUSPIRA IMMACULATA","IMMACULATE MOONSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"727","TACHYRHYNCHUS EROSUS","ERODED TURRENTSNAIL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"728","HAMINOEA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"729","SCAPHANDER PUNCTOSTRIATUS","GIANT CANOE BUBBLE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"730","OPISTHOBRANCHIA",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"731","NEOGASTROPODA",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"732","BUCCINIDAE",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"733","BUCCINUM SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"734","BUCCINUM SP VISCERA",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"735","BUCCINUM SP EGGS","BUCCINUM EGGS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"736","BUCCINUM UNDATUM","WAVED WHELK","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"737","BUCCINUM UNDATUM EGGS","WAVED WHELK EGGS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"738","BUCCINUM UNDATUM VISCERA","WAVED WHELK VISCERA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"739","NUCELLA SP","DOG WHELKS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"740","COLUS SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"741","MARGINELLA ROSCIDA","VIRGINIA MARGINELLA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"742","NASSARIUS SP","NASSARIUS SP","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"743","ILYANASSA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"744","BUSYCON SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"745","ANACHIS SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"746","PLEUROTOMELLA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","GASTRO","GASTROPODA","SNAILS","GASTRO","GASTROPODA","SNAILS"
"747","GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER","GLYCYN","FISH","FISH","FISH","PLEFAM","PLEURONECTIDAE","RIGHTEYE FLOUNDERS","GLYCYN","GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER"
"748","GOBIOSOMA BOSC","NAKED GOBY","SDEM","FISH","FISH","FISH","GOBFAM","GOBIIDAE","GOBY","GOBBOS","GOBIOSOMA BOSC","NAKED GOBY"
"749","GOBIIDAE","GOBY","SDEM","FISH","FISH","FISH","GOBFAM","GOBIIDAE","GOBY","GOBFAM","GOBIIDAE","GOBY"
"750","GONOSTOMATIDAE","LIGHTFISHES","LDEM","FISH","FISH","FISH","GONFAM","GONOSTOMATIDAE","LIGHTFISHES","GONFAM","GONOSTOMATIDAE","LIGHTFISHES"
"751","HALACARIDAE","MITES","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ARTHRO","ARTHROPODA","ARTHROPODA","HALFAM","HALACARIDAE","MITES"
"752","HELICOLENUS DACTYLOPTERUS","BLACKBELLY ROSEFISH","LDEM","FISH","FISH","FISH","SCRFAM","SCORPAENIDAE","ROCKFISHES","HELDAC","HELICOLENUS DACTYLOPTERUS","BLACKBELLY ROSEFISH"
"753","HEMITRIPTERUS AMERICANUS","SEA RAVEN","LDEM","FISH","FISH","FISH","COTFAM","COTTIDAE","SCULPINS","HEMAME","HEMITRIPTERUS AMERICANUS","SEA RAVEN"
"754","HEMICHORDATA","ACORN WORMS AND PTEROBRANCHS","PELINV","CHORD","CHORDATA","CHORDATA","HEMICH","HEMICHORDATA","ACORN WORMS","HEMICH","HEMICHORDATA","ACORN WORMS"
"755","HEMIPTERONOTUS NOVACULA","PEARLY RAZORFISH","LDEM","FISH","FISH","FISH","LABFAM","LABRIDAE","WRASSES","HEMNOV","HEMIPERONOTUS NOVACULA","PEARLY RAZORFISH"
"756","HIPPOCAMPUS ERECTUS","LINED SEAHORSE","SDEM","FISH","FISH","FISH","SYNFA1","SYNGNATHIDAE","PIPEFISHES AND SEAHORSES","HIPERE","HIPPOCAMPUS ERECTUS","LINED SEAHORSE"
"757","HIPPOGLOSSUS HIPPOGLOSSUS","ATLANTIC HALIBUT","LDEM","FISH","FISH","FISH","PLEFAM","PLEURONECTIDAE","RIGHTEYE FLOUNDERS","HIPHIP","HIPPOGLOSSUS HIPPOGLOSSUS","ATLANTIC HALIBUT"
"758","HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE","HIPPLA","FISH","FISH","FISH","PLEFAM","PLEURONECTIDAE","RIGHTEYE FLOUNDERS","HIPPLA","HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE"
"759","HIPPOCAMPUS SP","SEAHORSES","SDEM","FISH","FISH","FISH","SYNFA1","SYNGNATHIDAE","PIPEFISHES AND SEAHORSES","HIPPSP","HIPPOCAMPUS SP","SEAHORSES"
"760","HIRUDINEA","LEACHES","BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","HIRUDI","HIRUDENEA","LEECHES"
"761","HOLOTHUROIDEA","SEA CUCUMBERS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"762","DENDROCHIROTIDA",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"763","STEREODERMA UNISEMITA",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"764","THYONELLA SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"765","HAVELOCKIA SCABRA",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"766","PENTAMERA SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"767","THYONE SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"768","PSOLUS SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"769","PSOLUS PHANTAPUS",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"770","MOLPADIIDA",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"771","MOLPADIA MUSCULUS",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"772","CAUDINA ARENATA","RAT-TAILED CUCUMBER","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS","HOLOTH","HOLOTHUROIDEA","SEA CUCUMBERS"
"773","HOMARUS AMERICANUS","AMERICAN LOBSTER","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","HOMAME","HOMARUS AMERICANUS","LOBSTER"
"774","HOMARUS AMERICANUS LARVAE","AMERICAN LOBSTER LARVAE","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","HOMAME","HOMARUS AMERICANUS","LOBSTER"
"775","HOMARUS AMERICANUS EGGS","AMERICAN LOBSTER EGGS","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","HOMAME","HOMARUS AMERICANUS","LOBSTER"
"776","HYDROZOA",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"777","LEPTOMEDUSAE","THECATE HYDROID","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"778","CAMPANULARIIDAE",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"779","OBELIA SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"780","HALECIUM SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"781","SERTULARIIDAE",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"782","SERTULARIA SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"783","THUIARIA THUJA","BOTTLEBRUSH HYDROID","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"784","CORYMORPHA SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"785","TUBULARIA SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"786","CLADOCORYNE SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"787","SIPHONOPHORA",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","HYDROZ","HYDROZOA","HYDROZOA"
"788","HYPERIIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"789","HYPERIA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"790","HYPERIA GALBA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"791","HYPERIA MEDUSARUM",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"792","HYPEROCHE SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"793","HYPEROCHE MEDUSARUM",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"794","PARATHEMISTO SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"795","PARATHEMISTO COMPRESSA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"796","PARATHEMISTO GRACILIPES",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"797","PHRONIMA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"798","PHRONIMA SEDENTARIA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"799","VIBILIA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"800","THEMISTO GAUDICHAUDII",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","HYPFAM","HYPERIIDAE","HYPERIIDAE"
"801","ILLEX SP",NA,"ILLEX","MOLLUS","MOLLUSCA","MOLLUSCA","CEPHAL","CEPHALOPODA","SQUIDS, OCTOPUS","ILLESP","ILLEX SP","SHORTFIN SQUID-GENUS"
"802","ILLEX ILLECEBROSUS","NORTHERN SHORTFIN SQUID","ILLEX","MOLLUS","MOLLUSCA","MOLLUSCA","CEPHAL","CEPHALOPODA","SQUIDS, OCTOPUS","ILLILL","ILLEX ILLECEBROSUS","NORTHERN SHORTFIN SQUID"
"803","INSECTA","INSECTS","OTHER","ARTHRO","ARTHROPODA","ARTHROPODA","INSECT","INSECTA","INSECTA","INSECT","INSECTA","INSECTA"
"804","ISOPODA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"805","AEGIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"806","AEGA PSORA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"807","ANTHURIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"808","CALATHURA BRANCHIATA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"809","CYATHURA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"810","PTILANTHURA TENUIS",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"811","BOPYRIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"812","HEMIARTHRUS SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"813","CIROLANIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"814","CIROLANA BOREALIS",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"815","POLITOLANA CONCHARUM",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"816","POLITOLANA POLITA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"817","CYMOTHOIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"818","IDOTEIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"819","CHIRIDOTEA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"820","CHIRIDOTEA ALMYRA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"821","CHIRIDOTEA CAECA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"822","CHIRIDOTEA NIGRESCENS",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"823","CHIRIDOTEA TUFTSI",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"824","CHIRIDOTEA ARENICOLA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"825","EDOTEA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"826","EDOTEA MONTOSA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"827","EDOTEA TRILOBA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"828","ERICHSONELLA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"829","ERICHSONELLA FILIFORMIS",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"830","IDOTEA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"831","IDOTEA BALTICA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"832","IDOTEA PHOSPHOREA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"833","SYNIDOTEA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"834","JANIRIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"835","JAERA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"836","JAERA MARINA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"837","JANIRA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"838","JANIRA ALTA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"839","JANIRA MACULOSA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"840","LIGIA SP",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"841","MUNNOPSIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"842","MUNNOPSIS TYPICA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
"843","SPHAEROMATIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","ISOPOD","ISOPODA","ISOPODA","ISOPOD","ISOPODA","ISOPODA"
